KrS,Landkreis,UZ,BL,Kreissitz,Einw.,"Fl. in km²","Bev.D. Ew./km²"
06431,Bergstraße,HP,HE,Heppenheim,269.694,"719,52",375
07231,Bernkastel-Wittlich,"WIL, BKS",RP,Wittlich,112.262,"1.167,56",96
08426,Biberach,BC,BW,Biberach an der Riß,199.742,"1.409,74",142
07134,Birkenfeld,BIR,RP,Birkenfeld,80.720,"776,58",104
08115,Böblingen,"BB, LEO",BW,Böblingen,391.640,"617,82",634
08435,Bodenseekreis,"FN, TT, ÜB",BW,Friedrichshafen,216.227,"664,81",325
15083,Börde,"BK, BÖ, HDL, OC, OK, WMS, WZL",ST,Haldensleben,171.734,"2.366,63",73
05554,Borken,"BOR, AH, BOH",NW,Borken,370.676,"1.420,98",261
08315,Breisgau-Hochschwarzwald,FR,BW,Freiburg im Breisgau[FN 2],262.795,"1.378,34",191
15084,Burgenlandkreis,"BLK, HHM, NEB, NMB, WSF, ZZ",ST,Naumburg (Saale),180.190,"1.413,67",127
08235,Calw,CW,BW,Calw,158.397,"797,53",199
03351,Celle,CE,NI,Celle,178.936,"1.545,21",116
09372,Cham,"CHA, KÖZ, ROD, WÜM",BY,Cham,127.882,"1.520,17",84
03453,Cloppenburg,CLP,NI,Cloppenburg,169.348,"1.418,45",119
09473,Coburg,"CO, NEC",BY,Coburg[FN 2],86.906,"590,47",147
07135,Cochem-Zell,"COC, ZEL",RP,Cochem,61.587,"692,33",89
05558,Coesfeld,"COE, LH",NW,Coesfeld,219.929,"1.112,04",198
03352,Cuxhaven,CUX,NI,Cuxhaven,198.213,"2.057,78",96
09174,Dachau,DAH,BY,Dachau,153.884,"579,18",266
12061,Dahme-Spreewald,"LDS, KW, LC, LN",BB,Lübben (Spreewald),169.067,"2.274,48",74
06432,Darmstadt-Dieburg,"DA, DI",HE,Darmstadt[FN 2],297.399,"658,65",452
09271,Deggendorf,DEG,BY,Deggendorf,119.326,"861,3",139
03251,Diepholz,"DH, SY",NI,Diepholz,216.886,"1.988,14",109
09773,Dillingen an der Donau,"DLG, WER",BY,Dillingen an der Donau,96.021,"792,22",121
09279,Dingolfing-Landau,"DGF, LAN",BY,Dingolfing,96.217,"877,79",110
01051,Dithmarschen,"HEI, MED",SH,Heide,133.210,"1.428,13",93
09779,Donau-Ries,"DON, NÖ",BY,Donauwörth,133.496,"1.274,68",105
07333,Donnersbergkreis,"KIB, ROK",RP,Kirchheimbolanden,75.101,"645,52",116
05358,Düren,"DN, JÜL, MON, SLE",NW,Düren,263.722,"941,37",280
09175,Ebersberg,EBE,BY,Ebersberg,142.142,"549,36",259
16061,Eichsfeld,"EIC, HIG, WBS",TH,Heilbad Heiligenstadt,100.380,"943,07",106
09176,Eichstätt,EI,BY,Eichstätt,132.341,"1.214,06",109
07232,Eifelkreis Bitburg-Prüm,"BIT, PRÜ",RP,Bitburg,98.561,"1.626,22",61
12062,Elbe-Elster,"EE, FI, LIB",BB,Herzberg (Elster),102.638,"1.899,54",54
08316,Emmendingen,EM,BW,Emmendingen,165.383,"679,9",243
03454,Emsland,EL,NI,Meppen,325.657,"2.882,07",113
05954,Ennepe-Ruhr-Kreis,"EN, WIT",NW,Schwelm,324.296,"409,64",792
08236,Enzkreis,PF,BW,Pforzheim[FN 2],198.905,"573,68",347
09177,Erding,ED,BY,Erding,137.660,"870,72",158
09572,Erlangen-Höchstadt,"ERH, HÖS",BY,Erlangen[FN 2],136.271,"564,66",241
14521,Erzgebirgskreis,"ERZ, ANA, ASZ, AU, MAB, MEK, STL, SZB, ZP",SN,Annaberg-Buchholz,337.696,"1.827,91",185
08116,Esslingen,"ES, NT",BW,Esslingen am Neckar,533.859,"641,46",832
05366,Euskirchen,"EU, SLE",NW,Euskirchen,192.840,"1.248,73",154
09474,Forchheim,"FO, EBS, PEG",BY,Forchheim,116.099,"642,79",181
09178,Freising,FS,BY,Freising,179.116,"799,83",224
08237,Freudenstadt,"FDS, HCH, HOR, WOL",BW,Freudenstadt,117.935,"870,67",135
09272,Freyung-Grafenau,"FRG, GRA, WOS",BY,Freyung,78.355,"984,15",80
03455,Friesland,FRI,NI,Jever,98.460,"607,91",162
06631,Fulda,FD,HE,Fulda,222.584,"1.380,4",161
09179,Fürstenfeldbruck,FFB,BY,Fürstenfeldbruck,219.320,"434,79",504
09573,Fürth,FÜ,BY,Zirndorf,117.387,"307,55",382
09180,Garmisch-Partenkirchen,GAP,BY,Garmisch-Partenkirchen,88.467,"1.012,22",87
07334,Germersheim,GER,RP,Germersheim,129.075,"463,35",279
06531,Gießen,GI,HE,Gießen,268.876,"854,67",315
03151,Gifhorn,GF,NI,Gifhorn,175.920,"1.562,86",113
08117,Göppingen,GP,BW,Göppingen,257.253,"642,36",400
14626,Görlitz,"GR, LÖB, NOL, NY, WSW, ZI",SN,Görlitz,254.894,"2.111,41",121
03153,Goslar,"GS, BRL, CLZ",NI,Goslar,137.014,"965,29",142
16067,Gotha,GTH,TH,Gotha,135.452,"936,08",145
03159,Göttingen,"GÖ, DUD, HMÜ, OHA",NI,Göttingen,328.074,"1.753,41",187
03456,Grafschaft Bentheim,NOH,NI,Nordhorn,136.511,"980,87",139
16076,Greiz,"GRZ, ZR",TH,Greiz,98.159,"845,97",116
06433,Groß-Gerau,GG,HE,Groß-Gerau,274.526,"453,04",606
09774,Günzburg,"GZ, KRU",BY,Günzburg,125.747,"762,44",165
05754,Gütersloh,GT,NW,Gütersloh,364.083,"969,21",376
03252,Hameln-Pyrmont,HM,NI,Hameln,148.559,"796,15",187
03241,"Hannover, Region[FN 1]",H,NI,Hannover,1.157.624,"2.290,86",505
03353,Harburg,WL,NI,Winsen (Luhe),252.776,"1.245,03",203
15085,Harz,"HZ, HBS, QLB, WR",ST,Halberstadt,214.446,"2.104,54",102
09674,Haßberge,"HAS, EBN, GEO, HOH",BY,Haßfurt,84.599,"956,38",88
12063,Havelland,"HVL, NAU, RN",BB,Rathenow,161.909,"1.727,3",94
03358,Heidekreis,HK,NI,Bad Fallingbostel,139.755,"1.873,72",75
08135,Heidenheim,HDH,BW,Heidenheim an der Brenz,132.472,"627,14",211
08125,Heilbronn,HN,BW,Heilbronn[FN 2],343.068,"1.099,9",312
05370,Heinsberg,"HS, ERK, GK",NW,Heinsberg,254.322,"627,99",405
03154,Helmstedt,HE,NI,Helmstedt,91.307,"674,02",135
05758,Herford,HF,NW,Herford,250.783,"450,41",557
06632,Hersfeld-Rotenburg,"HEF, ROF",HE,Bad Hersfeld,120.829,"1.097,12",110
01053,Herzogtum Lauenburg,RZ,SH,Ratzeburg,197.264,"1.263,01",156
16069,Hildburghausen,HBN,TH,Hildburghausen,63.553,"938,42",68
03254,Hildesheim,"HI, ALF",NI,Hildesheim,276.594,"1.206,03",229
05958,Hochsauerlandkreis,HSK,NW,Meschede,260.475,"1.960,17",133
06434,Hochtaunuskreis,"HG, USI",HE,Bad Homburg vor der Höhe,236.564,"482,02",491
09475,Hof,"HO, MÜB, NAI, REH, SAN",BY,Hof[FN 2],95.311,"892,52",107
08126,Hohenlohekreis,"KÜN, ÖHR",BW,Künzelsau,112.010,"776,78",144
03255,Holzminden,HOL,NI,Holzminden,70.975,"692,65",102
05762,Höxter,"HX, WAR",NW,Höxter,140.667,"1.201,42",117
16070,Ilm-Kreis,"IK, ARN, IL",TH,Arnstadt,106.622,"805,11",132
15086,Jerichower Land,"JL, BRG, GNT",ST,Burg,89.928,"1.576,84",57
07335,Kaiserslautern,KL,RP,Kaiserslautern[FN 2],106.057,"639,88",166
08215,Karlsruhe,KA,BW,Karlsruhe[FN 2],444.232,"1.084,96",409
06633,Kassel,"KS, HOG, WOH",HE,Kassel[FN 2],236.633,"1.292,92",183
09273,Kelheim,"KEH, MAI, PAR, RID, ROL",BY,Kelheim,122.258,"1.065,97",115
09675,Kitzingen,KT,BY,Kitzingen,90.909,"684,19",133
05154,Kleve,"KLE, GEL",NW,Kleve,310.974,"1.232,99",252
08335,Konstanz,"KN, (BÜS)",BW,Konstanz,285.325,"817,97",349
09476,Kronach,"KC, SAN",BY,Kronach,67.135,"651,53",103
09477,Kulmbach,"KU, EBS, SAN",BY,Kulmbach,71.845,"658,34",109
07336,Kusel,KUS,RP,Kusel,70.526,"573,28",123
16065,Kyffhäuserkreis,"KYF, ART, SDH",TH,Sondershausen,75.009,"1.037,91",72
06532,Lahn-Dill-Kreis,"LDK, DIL, (WZ)",HE,Wetzlar,253.777,"1.066,52",238
09181,Landsberg am Lech,LL,BY,Landsberg am Lech,120.071,"804,38",149
09274,Landshut,"LA, MAI, MAL, ROL, VIB",BY,Landshut[FN 2],158.698,"1.347,89",118
03457,Leer,LER,NI,Leer (Ostfriesland),169.809,"1.086,01",156
14729,Leipzig,"L, BNA, GHA, GRM, MTL, WUR",SN,Borna,257.763,"1.651,3",156
09478,Lichtenfels,"LIF, STE",BY,Lichtenfels,66.838,"519,95",129
06533,Limburg-Weilburg,"LM, WEL",HE,Limburg an der Lahn,172.083,"738,48",233
09776,Lindau (Bodensee),LI,BY,Lindau (Bodensee),81.669,"323,44",252
05766,Lippe,LIP,NW,Detmold,348.391,"1.246,21",280
08336,Lörrach,LÖ,BW,Lörrach,228.639,"806,76",283
03354,Lüchow-Dannenberg,DAN,NI,Lüchow (Wendland),48.424,"1.220,75",40
08118,Ludwigsburg,"LB, VAI",BW,Ludwigsburg,543.984,"686,84",792
13076,Ludwigslust-Parchim,"LUP, HGN, LBZ, LWL, PCH, STB",MV,Parchim,212.618,"4.752,44",45
03355,Lüneburg,LG,NI,Lüneburg,183.372,"1.323,68",139
06435,Main-Kinzig-Kreis,"MKK, HU, GN, SLÜ",HE,Gelnhausen,418.950,"1.397,55",300
09677,Main-Spessart,MSP,BY,Karlstadt,126.365,"1.321,42",96
08128,Main-Tauber-Kreis,"TBB, MGH",BW,Tauberbischofsheim,132.321,"1.304,4",101
06436,Main-Taunus-Kreis,MTK,HE,Hofheim am Taunus,237.735,"222,39",1069
07339,Mainz-Bingen,"MZ, BIN",RP,Ingelheim am Rhein,210.889,"605,77",348
15087,Mansfeld-Südharz,"MSH, EIL, HET, ML, SGH",ST,Sangerhausen,136.249,"1.448,84",94
06534,Marburg-Biedenkopf,"MR, BID",HE,Marburg,246.648,"1.262,55",195
05962,Märkischer Kreis,MK,NW,Lüdenscheid,412.120,"1.061,06",388
12064,Märkisch-Oderland,"MOL, FRW, SEE, SRB",BB,Seelow,194.328,"2.158,67",90
07137,Mayen-Koblenz,"MYK, MY",RP,Koblenz[FN 2],214.259,"817,25",262
13071,Mecklenburgische Seenplatte,"MSE, AT, DM, MC, MST, MÜR, NZ, RM, WRN, (NB)",MV,Neubrandenburg,259.130,"5.470,35",47
14627,Meißen,"MEI, GRH, RG, RIE",SN,Meißen,242.165,"1.454,59",166
10042,Merzig-Wadern,MZG,SL,Merzig,103.366,"555,17",186
05158,Mettmann,ME,NW,Mettmann,485.684,"407,22",1193
09182,Miesbach,MB,BY,Miesbach,99.726,"866,23",115
09676,Miltenberg,"MIL, OBB",BY,Miltenberg,128.756,"715,86",180
05770,Minden-Lübbecke,MI,NW,Minden,310.710,"1.152,41",270
14522,Mittelsachsen,"FG, BED, DL, FLÖ, HC, MW, RL",SN,Freiberg,306.185,"2.116,85",145
09183,Mühldorf am Inn,"MÜ, VIB, WS",BY,Mühldorf am Inn,115.250,"805,31",143
09184,München,"M, AIB, WOR",BY,München[FN 2],348.871,"664,25",525
08225,Neckar-Odenwald-Kreis,"MOS, BCH",BW,Mosbach,143.535,"1.126,24",127
09775,Neu-Ulm,"NU, ILL",BY,Neu-Ulm,174.200,"515,86",338
09185,Neuburg-Schrobenhausen,"ND, SOB",BY,Neuburg an der Donau,96.680,"739,81",131
09373,Neumarkt in der Oberpfalz,"NM, PAR",BY,Neumarkt in der Oberpfalz,133.561,"1.344,11",99
10043,Neunkirchen,NK,SL,Ottweiler,132.206,"249,24",530
09575,Neustadt an der Aisch-Bad Windsheim,"NEA, SEF, UFF",BY,Neustadt an der Aisch,100.364,"1.267,56",79
09374,Neustadt an der Waldnaab,"NEW, ESB, VOH",BY,Neustadt an der Waldnaab,94.352,"1.427,67",66
07138,Neuwied,NR,RP,Neuwied,181.941,"626,9",290
03256,Nienburg/Weser,NI,NI,Nienburg/Weser,121.386,"1.398,97",87
01054,Nordfriesland,NF,SH,Husum,165.507,"2.082,96",79
16062,Nordhausen,NDH,TH,Nordhausen,83.822,"713,9",117
14730,Nordsachsen,"TDO, DZ, EB, OZ, TG, TO",SN,Torgau,197.673,"2.028,56",97
13074,Nordwestmecklenburg,"NWM, GDB, GVM, WIS, (HWI)",MV,Wismar,156.729,"2.118,51",74
03155,Northeim,"NOM, EIN, GAN",NI,Northeim,132.765,"1.267,08",105
09574,Nürnberger Land,"LAU, ESB, HEB, N, PEG",BY,Lauf an der Pegnitz,170.365,"799,57",213
09780,Oberallgäu,OA,BY,Sonthofen,155.362,1528,102
05374,Oberbergischer Kreis,GM,NW,Gummersbach,272.471,"918,84",297
12065,Oberhavel,OHV,BB,Oranienburg,211.249,"1.808,18",117
12066,Oberspreewald-Lausitz,"OSL, CA, SFB",BB,Senftenberg,110.476,"1.223,08",90
06437,Odenwaldkreis,ERB,HE,Erbach,96.798,"623,98",155
12067,Oder-Spree,"LOS, BSK, EH, FW",BB,Beeskow,178.658,"2.256,78",79
06438,Offenbach,OF,HE,Dietzenbach,354.092,"356,3",994
03458,Oldenburg,OL,NI,Wildeshausen,130.144,"1.063,16",122
05966,Olpe,OE,NW,Olpe,134.775,"712,14",189
08317,Ortenaukreis,"OG, BH, KEL, LR, WOL",BW,Offenburg,429.479,"1.860,81",231
03459,Osnabrück,"OS, BSB, MEL, WTL",NI,Osnabrück[FN 2],357.343,"2.121,63",168
08136,Ostalbkreis,"AA, GD",BW,Aalen,314.002,"1.511,54",208
09777,Ostallgäu,"OAL, FÜS, MOD",BY,Marktoberdorf,140.316,"1.394,91",101
03356,Osterholz,OHZ,NI,Osterholz-Scharmbeck,113.517,"650,81",174
01055,Ostholstein,OH,SH,Eutin,200.581,"1.392,55",144
12068,Ostprignitz-Ruppin,"OPR, KY, NP, WK",BB,Neuruppin,99.078,"2.526,55",39
05774,Paderborn,"PB, BÜR",NW,Paderborn,306.890,"1.246,8",246
09275,Passau,PA,BY,Passau[FN 2],192.043,"1.530,29",125
03157,Peine,PE,NI,Peine,133.965,"534,97",250
09186,Pfaffenhofen an der Ilm,PAF,BY,Pfaffenhofen an der Ilm,127.151,"761,14",167
01056,Pinneberg,PI,SH,Elmshorn[FN 3],314.391,"664,28",473
01057,Plön,PLÖ,SH,Plön,128.647,"1.083,17",119
12069,Potsdam-Mittelmark,PM,BB,Bad Belzig,214.664,"2.591,61",83
12070,Prignitz,PR,BB,Perleberg,76.508,"2.138,61",36
08216,Rastatt,"RA, BH",BW,Rastatt,231.018,"738,75",313
08436,Ravensburg,RV,BW,Ravensburg,284.285,"1.631,86",174
05562,Recklinghausen,"RE, CAS, GLA",NW,Recklinghausen,615.261,"761,31",808
09276,Regen,"REG, VIT",BY,Regen,77.656,"974,92",80
09375,Regensburg,R,BY,Regensburg[FN 2],193.572,"1.391,9",139
08119,Rems-Murr-Kreis,"WN, BK",BW,Waiblingen,426.158,"858,13",497
01058,Rendsburg-Eckernförde,"RD, ECK",SH,Rendsburg,272.775,"2.189,17",125
08415,Reutlingen,RT,BW,Reutlingen,286.748,"1.092,74",262
05362,Rhein-Erft-Kreis,BM,NW,Bergheim,470.089,"704,71",667
06439,Rheingau-Taunus-Kreis,"RÜD, SWA",HE,Bad Schwalbach,187.157,"811,48",231
07140,Rhein-Hunsrück-Kreis,"SIM, GOA",RP,Simmern/Hunsrück,102.937,"991,12",104
05378,Rheinisch-Bergischer Kreis,GL,NW,Bergisch Gladbach,283.455,"437,32",648
05162,Rhein-Kreis Neuss,"NE, GV",NW,Neuss,451.007,"576,52",782
07141,Rhein-Lahn-Kreis,"EMS, DIZ, GOH",RP,Bad Ems,122.308,"782,29",156
08226,Rhein-Neckar-Kreis,HD,BW,Heidelberg[FN 2],547.625,"1.061,7",516
07338,Rhein-Pfalz-Kreis,RP,RP,Ludwigshafen am Rhein[FN 2],154.201,"304,92",506
05382,Rhein-Sieg-Kreis,SU,NW,Siegburg,599.780,"1.153,21",520
09673,Rhön-Grabfeld,"NES, KÖN, MET",BY,Bad Neustadt an der Saale,79.690,"1.021,77",78
09187,Rosenheim,"RO, AIB, WS",BY,Rosenheim[FN 2],260.983,"1.439,54",181
13072,Rostock,"LRO, BÜZ, DBR, GÜ, ROS, TET",MV,Güstrow,215.113,"3.422,51",63
03357,Rotenburg (Wümme),"ROW, BRV",NI,Rotenburg (Wümme),163.455,"2.070,45",79
09576,Roth,"RH, HIP",BY,Roth,126.958,"895,39",142
09277,Rottal-Inn,"PAN, EG, GRI, VIB",BY,Pfarrkirchen,120.659,"1.281,42",94
08325,Rottweil,RW,BW,Rottweil,139.455,"769,4",181
16074,Saale-Holzland-Kreis,"SHK, EIS, SRO",TH,Eisenberg,83.051,"815,24",102
15088,Saalekreis,"SK, MER, MQ, QFT",ST,Merseburg,184.582,"1.433,67",129
16075,Saale-Orla-Kreis,"SOK, LBS, PN, SCZ",TH,Schleiz,80.868,"1.151,3",70
16073,Saalfeld-Rudolstadt,"SLF, RU",TH,Saalfeld/Saale,104.142,"1.036,03",101
10041,"Saarbrücken, Regionalverband[FN 1]","SB, (VK)",SL,Saarbrücken,329.708,"410,64",803
10044,Saarlouis,SLS,SL,Saarlouis,195.201,"459,05",425
10045,Saarpfalz-Kreis,"HOM, (IGB)",SL,Homburg,142.631,"418,4",341
14628,Sächsische Schweiz-Osterzgebirge,"PIR, DW, FTL, SEB",SN,Pirna,245.611,"1.654,19",148
15089,Salzlandkreis,"SLK, ASL, BBG, SBK, SFT",ST,Bernburg (Saale),190.560,"1.426,76",134
03257,Schaumburg,"SHG, RI",NI,Stadthagen,157.781,"675,57",234
01059,Schleswig-Flensburg,SL,SH,Schleswig,200.025,"2.071,14",97
16066,Schmalkalden-Meiningen,"SM, MGN",TH,Meiningen,125.646,"1.251,2",100
06634,Schwalm-Eder-Kreis,"HR, FZ, MEG, ZIG",HE,Homberg (Efze),180.222,"1.538,51",117
09376,Schwandorf,"SAD, BUL, NAB, NEN, OVI, ROD",BY,Schwandorf,147.189,"1.464,97",100
08326,Schwarzwald-Baar-Kreis,VS,BW,Villingen-Schwenningen,212.381,"1.025,27",207
08127,Schwäbisch Hall,"SHA, BK, CR",BW,Schwäbisch Hall,195.861,"1.483,97",132
09678,Schweinfurt,"SW, GEO",BY,Schweinfurt[FN 2],115.106,"841,46",137
01060,Segeberg,SE,SH,Bad Segeberg,276.032,"1.344,39",205
05970,Siegen-Wittgenstein,"SI, BLB",NW,Siegen,278.210,"1.132,89",246
08437,Sigmaringen,SIG,BW,Sigmaringen,130.873,"1.204,34",109
05974,Soest,"SO, LP",NW,Soest,301.902,"1.328,63",227
16068,Sömmerda,SÖM,TH,Sömmerda,69.655,"806,86",86
16072,Sonneberg,"SON, NH",TH,Sonneberg,58.410,"433,61",135
12071,Spree-Neiße,"SPN, FOR, GUB, SPB",BB,Forst (Lausitz),114.429,"1.657,45",69
10046,St. Wendel,WND,SL,St. Wendel,87.397,"476,22",184
03359,Stade,STD,NI,Stade,203.102,"1.266,02",160
09188,Starnberg,"STA, WOR",BY,Starnberg,136.092,"487,71",279
01061,Steinburg,IZ,SH,Itzehoe,131.347,"1.056,13",124
05566,Steinfurt,"ST, BF, TE",NW,Steinfurt,447.614,"1.795,76",249
15090,Stendal,"SDL, HV, OBG",ST,Stendal,111.982,"2.423,16",46
01062,Stormarn,OD,SH,Bad Oldesloe,243.196,"766,33",317
09278,Straubing-Bogen,"SR, BOG, MAL",BY,Straubing[FN 2],100.649,"1.201,94",84
07337,Südliche Weinstraße,SÜW,RP,Landau in der Pfalz[FN 2],110.356,"639,83",172
07340,Südwestpfalz,"PS, ZW",RP,Pirmasens[FN 2],95.113,"953,65",100
12072,Teltow-Fläming,TF,BB,Luckenwalde,168.296,"2.104,19",80
09377,Tirschenreuth,"TIR, KEM",BY,Tirschenreuth,72.504,"1.084,23",67
09189,Traunstein,"TS, LF",BY,Traunstein,177.089,1534,115
07235,Trier-Saarburg,"TR, SAB",RP,Trier[FN 2],148.945,"1.101,49",135
08416,Tübingen,TÜ,BW,Tübingen,227.331,"519,2",438
08327,Tuttlingen,TUT,BW,Tuttlingen,140.152,"734,35",191
12073,Uckermark,"UM, ANG, PZ, SDT, TP",BB,Prenzlau,119.552,"3.076,93",39
03360,Uelzen,UE,NI,Uelzen,92.572,"1.454,22",64
05978,Unna,"UN, LH, LÜN",NW,Unna,394.782,"543,21",727
16064,Unstrut-Hainich-Kreis,"UH, LSZ, MHL",TH,Mühlhausen/Thüringen,102.912,"979,69",105
09778,Unterallgäu,MN,BY,Mindelheim,144.041,"1.230,06",117
03460,Vechta,VEC,NI,Vechta,141.598,"812,63",174
03361,Verden,VER,NI,Verden (Aller),136.792,"787,97",174
05166,Viersen,"VIE, KK",NW,Viersen,298.935,"563,28",531
06535,Vogelsbergkreis,VB,HE,Lauterbach (Hessen),105.878,"1.458,99",73
14523,Vogtlandkreis,"V, AE, OVL, PL, RC",SN,Plauen,227.796,"1.412,42",161
13075,Vorpommern-Greifswald,"VG, ANK, GW, PW, SBG, UEM, WLG, (HGW)",MV,Greifswald,236.697,"3.929,73",60
13073,Vorpommern-Rügen,"VR, GMN, NVP, RDG, RÜG, (HST)",MV,Stralsund,224.684,"3.207,37",70
07233,Vulkaneifel,DAU,RP,Daun,60.603,"911,02",67
06635,Waldeck-Frankenberg,"KB, FKB, WA",HE,Korbach,156.953,"1.848,44",85
08337,Waldshut,WT,BW,Waldshut-Tiengen,170.619,"1.131,15",151
05570,Warendorf,"WAF, BE",NW,Warendorf,277.783,"1.319,41",211
16063,Wartburgkreis,"WAK, SLZ",TH,Bad Salzungen,119.726,"1.267,26",94
09190,Weilheim-Schongau,"WM, SOG",BY,Weilheim in Oberbayern,135.348,"966,37",140
16071,Weimarer Land,"AP, APD",TH,Apolda,81.947,"804,48",102
09577,Weißenburg-Gunzenhausen,"WUG, GUN",BY,Weißenburg in Bayern,94.393,"970,91",97
06636,Werra-Meißner-Kreis,"ESW, WIZ",HE,Eschwege,101.017,"1.024,7",99
05170,Wesel,"WES, DIN, MO",NW,Wesel,459.809,"1.042,8",441
03461,Wesermarsch,BRA,NI,Brake (Unterweser),88.624,"822,01",108
07143,Westerwaldkreis,WW,RP,Montabaur,201.597,"988,95",204
06440,Wetteraukreis,"FB, BÜD",HE,Friedberg (Hessen),306.460,"1.100,69",278
15091,Wittenberg,"WB, GHC, JE",ST,Lutherstadt Wittenberg,125.840,"1.930,31",65
03462,Wittmund,WTM,NI,Wittmund,56.882,"656,64",87
03158,Wolfenbüttel,WF,NI,Wolfenbüttel,119.960,"722,56",166
09479,Wunsiedel im Fichtelgebirge,"WUN, MAK, REH, SEL",BY,Wunsiedel,73.178,"606,43",121
09679,Würzburg,"WÜ, OCH",BY,Würzburg[FN 2],161.834,"968,4",167
08417,Zollernalbkreis,"BL, HCH",BW,Balingen,188.935,"917,72",206
14524,Zwickau,"Z, GC, HOT, WDA",SN,Zwickau,317.531,"949,78",334
